                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     56,                0.79418,                0.95105,                 1.1361,                  0.821,                0.74274,                0.80429,                0.43275,                 1.5416,                0.89245,                 1.6302,             0.00035483,             0.00035483,             0.00035483
                     57,                0.79513,                0.95255,                 1.1448,                0.80573,                0.78974,                0.80998,                0.43757,                 1.5384,                0.84998,                 1.6316,             0.00034108,             0.00034108,             0.00034108
                     58,                0.77662,                0.94123,                 1.1335,                0.85098,                0.73586,                0.81506,                0.43763,                 1.5775,                0.87189,                 1.6524,             0.00032733,             0.00032733,             0.00032733
                     59,                0.78007,                0.93211,                 1.1282,                0.76862,                0.79862,                0.80547,                0.44357,                 1.5621,                 0.8711,                 1.6364,             0.00031358,             0.00031358,             0.00031358
                     60,                0.77035,                0.90584,                 1.1334,                0.80048,                0.76969,                0.80746,                0.44921,                  1.543,                0.86715,                 1.6329,             0.00029983,             0.00029983,             0.00029983
                     61,                0.77288,                0.90795,                  1.135,                0.75397,                0.80069,                0.79797,                0.44847,                 1.5466,                0.88873,                 1.6333,             0.00028608,             0.00028608,             0.00028608
                     62,                0.76265,                0.88947,                 1.1192,                0.81021,                0.78135,                 0.8056,                0.43635,                 1.5444,                0.90029,                 1.6364,             0.00027233,             0.00027233,             0.00027233
                     63,                 0.7584,                0.87285,                 1.1218,                0.82653,                0.78195,                0.82378,                0.45494,                 1.5296,                0.84834,                 1.6229,             0.00025859,             0.00025859,             0.00025859
                     64,                0.74566,                0.85612,                 1.1121,                0.80239,                0.82284,                0.83065,                0.45833,                 1.5323,                0.84452,                 1.6227,             0.00024484,             0.00024484,             0.00024484
                     65,                0.74814,                0.85836,                 1.1081,                0.80361,                0.81583,                 0.8313,                0.45735,                 1.5325,                0.85877,                  1.615,             0.00023109,             0.00023109,             0.00023109
                     66,                0.73342,                0.83986,                 1.1061,                0.79126,                0.81824,                0.83801,                0.46534,                 1.5253,                0.82205,                 1.6101,             0.00021734,             0.00021734,             0.00021734
                     67,                0.72892,                0.82836,                 1.1067,                0.81401,                0.79755,                0.81526,                0.44762,                 1.5247,                0.85351,                 1.6347,             0.00020359,             0.00020359,             0.00020359
                     68,                 0.7212,                0.81336,                 1.1005,                0.81886,                0.81823,                0.83557,                0.46788,                 1.5241,                0.83449,                 1.6376,             0.00018984,             0.00018984,             0.00018984
                     69,                0.71702,                0.81179,                 1.0956,                0.79545,                0.80078,                0.82347,                0.44895,                 1.5272,                 0.8631,                 1.6259,             0.00017609,             0.00017609,             0.00017609
                     70,                  0.709,                 0.7108,                 1.0955,                0.81769,                0.78903,                0.83291,                0.45659,                 1.5106,                0.83804,                 1.6252,             0.00016234,             0.00016234,             0.00016234
                     71,                0.67975,                0.67626,                 1.0771,                0.77351,                0.80372,                0.82036,                0.45811,                 1.5177,                0.86179,                   1.63,              0.0001486,              0.0001486,              0.0001486
                     72,                 0.6707,                0.64407,                 1.0711,                0.83193,                0.78124,                0.83321,                0.46108,                 1.5276,                0.83821,                 1.6513,             0.00013485,             0.00013485,             0.00013485
                     73,                0.66592,                0.63149,                 1.0671,                0.82291,                0.80394,                0.81283,                0.45093,                 1.5368,                0.84092,                 1.6654,              0.0001211,              0.0001211,              0.0001211
                     74,                 0.6577,                 0.6207,                 1.0649,                  0.828,                0.79699,                0.82383,                0.46231,                 1.5313,                0.83959,                  1.658,             0.00010735,             0.00010735,             0.00010735
                     75,                0.65303,                0.61455,                 1.0617,                0.82555,                0.79149,                0.83099,                0.46717,                 1.5207,                0.82538,                  1.663,             9.3602e-05,             9.3602e-05,             9.3602e-05
                     76,                0.64343,                0.59835,                 1.0561,                0.81465,                0.80135,                 0.8285,                0.46902,                 1.5215,                0.84601,                 1.6585,             7.9853e-05,             7.9853e-05,             7.9853e-05
                     77,                0.63644,                 0.5896,                 1.0524,                0.82725,                0.78943,                0.82533,                0.46364,                  1.517,                0.83407,                 1.6609,             6.6105e-05,             6.6105e-05,             6.6105e-05
                     78,                0.62663,                0.57276,                 1.0454,                0.80981,                0.80096,                0.82806,                0.46379,                 1.5259,                0.83506,                  1.674,             5.2356e-05,             5.2356e-05,             5.2356e-05
                     79,                0.63121,                0.56818,                 1.0481,                0.81706,                  0.805,                 0.8299,                0.46552,                 1.5179,                0.82405,                 1.6762,             3.8607e-05,             3.8607e-05,             3.8607e-05
